YEAR,IND,RES,CAR,COM,OTH,TOT
1960,1.1,2.6,0,2.4,1.9,1.8
1961,1.1,2.6,0,2.4,1.8,1.8
1962,1.1,2.6,0,2.4,1.9,1.8
1963,1,2.5,0,2.3,1.8,1.8
1964,1,2.5,0,2.2,1.8,1.7
1965,1,2.4,0,2.2,1.8,1.7
1966,1,2.3,0,2.1,1.8,1.7
1967,1,2.3,0,2.1,1.8,1.7
1968,1,2.3,0,2.1,1.8,1.6
1969,1,2.2,0,2.1,1.7,1.6
1970,1,2.2,0,2.1,1.8,1.7
1971,1.1,2.3,0,2.2,1.9,1.8
1972,1.2,2.4,0,2.3,2,1.9
1973,1.3,2.5,0,2.4,2.1,2
1974,1.7,3.1,0,3,2.8,2.5
1975,2.1,3.5,0,3.5,3.1,2.9
1976,2.2,3.7,0,3.7,3.3,3.1
1977,2.5,4.1,0,4.1,3.5,3.4
1978,2.8,4.3,0,4.4,3.6,3.7
1979,3.1,4.6,0,4.7,4,4
1980,3.7,5.4,0,5.5,4.8,4.7
1981,4.3,6.2,0,6.3,5.3,5.5
1982,5,6.9,0,6.9,5.9,6.1
1983,5,7.2,0,7,6.4,6.3
1984,4.83,7.15,0,7.13,5.9,6.25
1985,4.97,7.39,0,7.27,6.09,6.44
1986,4.93,7.42,0,7.2,6.11,6.44
1987,4.77,7.45,0,7.08,6.21,6.37
1988,4.7,7.48,0,7.04,6.2,6.35
1989,4.72,7.65,0,7.2,6.25,6.45
1990,4.74,7.83,0,7.34,6.4,6.57
1991,4.83,8.04,0,7.53,6.51,6.75
1992,4.83,8.21,0,7.66,6.74,6.82
1993,4.85,8.32,0,7.74,6.88,6.93
1994,4.77,8.38,0,7.73,6.84,6.91
1995,4.66,8.4,0,7.69,6.88,6.89
1996,4.6,8.36,0,7.64,6.91,6.86
1997,4.53,8.43,0,7.59,6.91,6.85
1998,4.48,8.26,0,7.41,6.63,6.74
1999,4.43,8.16,0,7.26,6.35,6.64
2000,4.64,8.24,0,7.43,6.56,6.81
2001,5.05,8.58,0,7.92,7.2,7.29
2002,4.88,8.44,0,7.89,6.75,7.2
2003,5.11,8.72,7.54,8.03,,7.44
2004,5.25,8.95,7.18,8.17,,7.61
2005,5.73,9.45,8.57,8.67,,8.14
2006,6.16,10.4,9.54,9.46,,8.9
2007,6.39,10.65,9.7,9.65,,9.13
2008,6.83,11.26,10.74,10.36,,9.74
2009,6.81,11.51,10.65,10.17,,9.82
2010,6.77,11.54,10.57,10.19,,9.83
2011,6.89,11.8,10.58,10.32,,9.99
